City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Hirara,JP,71.6,scattered clouds,24.8,125.2833,Hirara
5,Eydhafushi,MV,82.71,clear sky,5.1033,73.0708,Eydhafushi
8,Puerto Ayora,EC,78.8,light rain,-0.7393,-90.3518,Puerto Ayora
17,Grand Gaube,MU,80.01,overcast clouds,-20.0064,57.6608,Goodlands
19,Hithadhoo,MV,83.32,broken clouds,-0.6,73.0833,Addu City
21,Rikitea,PF,78.96,clear sky,-23.1203,-134.9692,Rikitea
23,Tura,IN,71.56,clear sky,25.5198,90.2201,Tura
24,Vila Velha,BR,77,few clouds,-20.3297,-40.2925,Vila Velha
26,Santa Monica,US,73.4,clear sky,34.0195,-118.4912,Santa Monica
27,Port Blair,IN,81.1,broken clouds,11.6667,92.75,Port Blair
28,Port Shepstone,ZA,71.96,overcast clouds,-30.7414,30.455,Port Shepstone
29,Nobres,BR,77.5,few clouds,-14.7203,-56.3275,Nobres
34,Ailigandi,PA,80.83,broken clouds,9.2333,-78.0167,Isla Lorenzo Bello
35,Hilo,US,78.8,few clouds,19.7297,-155.09,Hilo
36,Atuona,PF,80.98,broken clouds,-9.8,-139.0333,Atuona
41,Kudahuvadhoo,MV,82.51,few clouds,2.6708,72.8944,Kudahuvadhoo
42,Saint-Philippe,RE,78.8,overcast clouds,-21.3585,55.7679,Saint-Philippe
43,Kapaa,US,78.8,scattered clouds,22.0752,-159.319,Kapaʻa
45,Arraial Do Cabo,BR,76.39,clear sky,-22.9661,-42.0278,Arraial do Cabo
47,Pisco,PE,73.4,few clouds,-13.7,-76.2167,Pisco
50,Kavaratti,IN,82.11,clear sky,10.5669,72.642,Kavaratti
51,Vaini,TO,80.6,few clouds,-21.2,-175.2,Nukuhetulu
54,Gbarnga,LR,75.51,overcast clouds,6.9956,-9.4722,Gbarnga
57,Nioki,CD,71.02,overcast clouds,-2.7167,17.6833,Nioki
59,Nizwa,OM,72.75,clear sky,22.9333,57.5333,Nizwa
61,Nabire,ID,77.76,overcast clouds,-3.3667,135.4833,Nabire
62,Katobu,ID,77.59,overcast clouds,-4.9408,122.5276,Kampani
63,Bonthe,SL,80.55,overcast clouds,7.5264,-12.505,Bonthe
65,Souillac,MU,78.8,broken clouds,-20.5167,57.5167,Souillac
66,Andira,BR,74.77,broken clouds,-0.7385,-47.8437,Curuçá
70,Nishihara,JP,71.6,scattered clouds,26.1842,127.7558,Naha
71,Eldorado,BR,73,clear sky,-23.7869,-54.2836,Eldorado
73,Jamestown,US,73.4,clear sky,42.097,-79.2353,Jamestown
75,Lazaro Cardenas,MX,82.09,clear sky,17.9583,-102.2,Lázaro Cárdenas
78,Puerto Ayacucho,VE,73.49,overcast clouds,5.6639,-67.6236,Puerto Ayacucho
79,Carnarvon,AU,77,overcast clouds,-24.8667,113.6333,Carnarvon
80,Hualmay,PE,70.03,scattered clouds,-11.0964,-77.6139,Huacho
89,Tolaga Bay,NZ,71.49,scattered clouds,-38.3667,178.3,Tolaga Bay
90,Albany,US,75,scattered clouds,42.6001,-73.9662,Voorheesville
91,Imbituba,BR,77,light rain,-28.24,-48.6703,Imbituba
97,Port Alfred,ZA,70.34,overcast clouds,-33.5906,26.891,Port Alfred
99,Pringsewu,ID,74.43,overcast clouds,-5.3582,104.9744,Margakaja
105,Najran,SA,73.4,clear sky,17.4924,44.1277,Najran
108,Kabanjahe,ID,75.2,mist,3.1001,98.4908,Kabanjahe
112,Namibe,AO,78.75,light rain,-15.1961,12.1522,Namibe
114,Balkanabat,TM,73.72,broken clouds,39.5108,54.3671,Balkanabat
116,Leland,US,73.4,scattered clouds,34.2563,-78.0447,Leland
118,Acapulco,MX,84.2,scattered clouds,16.8634,-99.8901,Acapulco
121,Araouane,ML,89.01,clear sky,18.9048,-3.5265,Araouane
123,Sechura,PE,77.22,broken clouds,-5.5569,-80.8222,Sechura District
126,Huarmey,PE,70.68,broken clouds,-10.0681,-78.1522,Cercado de Huarmey
129,Mauriti,BR,84.2,few clouds,-7.3892,-38.7744,Mauriti
130,Touros,BR,77,scattered clouds,-5.1989,-35.4608,Touros
131,Cayenne,GF,75.2,light rain,4.9333,-52.3333,Cayenne
139,Luderitz,,72.45,clear sky,-26.6481,15.1594,Luderitz
141,Saint George,US,82.99,clear sky,37.1041,-113.5841,St. George
142,Jacqueville,CI,82.4,few clouds,5.2052,-4.4146,Jacqueville
144,Bengkulu,ID,74.97,broken clouds,-3.8004,102.2655,Bengkulu
145,Sur,OM,79.66,clear sky,22.5667,59.5289,Sur
146,Pangkalanbuun,ID,75.04,light rain,-2.6833,111.6167,Pangkalan Bun
151,Taquari,BR,78.01,overcast clouds,-29.7997,-51.8644,Taquari
152,Cockburn Town,TC,75.49,overcast clouds,21.4612,-71.1419,Cockburn Town
158,Kalmunai,LK,77.94,broken clouds,7.4167,81.8167,Kalmunai
160,Kieta,PG,78.19,moderate rain,-6.2167,155.6333,Kieta
161,Ndele,CF,77.47,overcast clouds,8.4109,20.6473,N'Délé
163,Mount Pleasant,US,72,clear sky,32.7941,-79.8626,Mount Pleasant
167,Odienne,CI,86.94,overcast clouds,9.51,-7.5692,Odienne
168,Payo,ID,72.36,broken clouds,-3.7508,103.6372,Lahat Regency
170,Vao,NC,77.07,overcast clouds,-22.6667,167.4833,Vao
177,The Valley,AI,78.8,few clouds,18.217,-63.0578,The Valley
180,Kamalia,PK,72.34,clear sky,30.7333,72.65,Kamalia
181,San Ramon,US,75.99,clear sky,37.7799,-121.978,San Ramon
182,Paramonga,PE,70.5,broken clouds,-10.6667,-77.8333,Paramonga
183,Weligama,LK,76.71,few clouds,5.9667,80.4167,Weligama
185,Kawalu,ID,73.04,overcast clouds,-7.3817,108.2082,Tasikmalaya
194,Kokopo,PG,81.03,light rain,-4.352,152.2633,Kokopo
196,Tabou,CI,79.83,overcast clouds,4.423,-7.3528,Tabou
197,Faanui,PF,82.27,broken clouds,-16.4833,-151.75,Vaitape
199,Qui Nhon,VN,75.9,broken clouds,13.7667,109.2333,Qui Nhơn
200,Pitimbu,BR,75.2,broken clouds,-7.4706,-34.8086,Pitimbu
203,Georgetown,MY,79,few clouds,5.4112,100.3354,George Town
206,Lahaina,US,78.8,few clouds,20.8783,-156.6825,Lahaina
210,Mayumba,GA,77.88,overcast clouds,-3.432,10.6554,Mayumba
213,Reconquista,AR,80.82,broken clouds,-29.15,-59.65,Reconquista
215,Tautira,PF,87.8,light rain,-17.7333,-149.15,Tautira
216,East London,ZA,70.14,broken clouds,-33.0153,27.9116,East London
