City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,New Norfolk,AU,-42.7826,147.0587,44.01,89,99,1.01,light rain,2022-08-10 22:45
1,Punta Arenas,CL,-53.15,-70.9167,50,66,75,14.97,broken clouds,2022-08-10 22:45
2,Mataura,NZ,-46.1927,168.8643,62.01,86,63,1.99,broken clouds,2022-08-10 22:45
3,Hirara,JP,24.8,125.2833,71.6,88,40,12.66,scattered clouds,2022-08-10 22:45
4,Pergamino,AR,-33.89,-60.5736,68,99,100,1.01,light rain,2022-08-10 22:45
5,Eydhafushi,MV,5.1033,73.0708,82.71,71,3,7.14,clear sky,2022-08-10 22:45
6,Airai,TL,-8.9266,125.4092,62.94,75,90,1.5,overcast clouds,2022-08-10 22:45
7,Tasiilaq,GL,65.6145,-37.6368,33.8,51,2,1.14,clear sky,2022-08-10 22:45
8,Puerto Ayora,EC,-0.7393,-90.3518,78.8,83,20,5.75,light rain,2022-08-10 22:45
9,Deputatskiy,RU,69.3,139.9,-10.35,86,10,2.93,clear sky,2022-08-10 22:45
10,Ushuaia,AR,-54.8,-68.3,50,66,40,4.61,scattered clouds,2022-08-10 22:41
11,Lagoa,PT,39.05,-27.9833,59.59,94,100,20.49,overcast clouds,2022-08-10 22:35
12,Ponta Do Sol,PT,32.6667,-17.1,61,73,93,1.01,overcast clouds,2022-08-10 22:45
13,Busselton,AU,-33.65,115.3333,60.01,87,100,1.01,light rain,2022-08-10 22:45
14,Freeport,US,40.6576,-73.5832,62.01,77,1,9.22,clear sky,2022-08-10 22:42
15,Hasaki,JP,35.7333,140.8333,51.8,71,20,6.91,few clouds,2022-08-10 22:45
16,Cape Town,ZA,-33.9258,18.4232,64,88,0,9.22,clear sky,2022-08-10 22:43
17,Grand Gaube,MU,-20.0064,57.6608,80.01,74,98,5.99,overcast clouds,2022-08-10 22:33
18,Codrington,AU,-38.2667,141.9667,52.48,64,100,21.88,overcast clouds,2022-08-10 22:35
19,Hithadhoo,MV,-0.6,73.0833,83.32,69,56,12.88,broken clouds,2022-08-10 22:45
20,Ribeira Grande,PT,38.5167,-28.7,62.1,90,100,15.39,overcast clouds,2022-08-10 22:45
21,Rikitea,PF,-23.1203,-134.9692,78.96,71,0,9.33,clear sky,2022-08-10 22:45
22,Juegang,CN,32.3174,121.1855,55.99,86,100,15.3,overcast clouds,2022-08-10 22:45
23,Tura,IN,25.5198,90.2201,71.56,71,0,3.76,clear sky,2022-08-10 22:45
24,Vila Velha,BR,-20.3297,-40.2925,77,73,20,5.75,few clouds,2022-08-10 22:35
25,Kyshtovka,RU,56.555,76.6271,32.52,91,100,3.58,overcast clouds,2022-08-10 22:45
26,Santa Monica,US,34.0195,-118.4912,73.4,52,1,8.05,clear sky,2022-08-10 22:40
27,Port Blair,IN,11.6667,92.75,81.1,77,80,3.78,broken clouds,2022-08-10 22:36
28,Port Shepstone,ZA,-30.7414,30.455,71.96,86,96,2.75,overcast clouds,2022-08-10 22:45
29,Nobres,BR,-14.7203,-56.3275,77.5,75,13,1.83,few clouds,2022-08-10 22:45
30,Lasa,IT,46.6166,10.7002,48,87,75,5.75,broken clouds,2022-08-10 22:45
31,Bereda,ES,43.2686,-7.5406,51.01,100,100,5.99,overcast clouds,2022-08-10 22:45
32,Suda,RU,59.1525,37.5582,36.19,96,82,8.68,broken clouds,2022-08-10 22:45
